iter	Passed	Remaining
0	2	522
1	3	482
2	5	490
3	7	490
4	9	485
5	12	488
6	14	490
7	16	489
8	18	486
9	21	507
10	23	500
11	25	498
12	27	496
13	29	493
14	31	490
15	33	490
16	35	492
17	38	490
18	39	484
19	41	480
20	44	480
21	45	476
22	47	468
23	49	466
24	51	466
25	53	459
26	55	457
27	57	451
28	60	457
29	62	455
30	64	455
31	66	454
32	69	454
33	71	453
34	74	454
35	76	456
36	79	459
37	82	461
38	85	460
39	87	457
40	90	458
41	92	459
42	95	459
43	97	457
44	100	457
45	102	454
46	104	450
47	106	448
48	108	446
49	110	443
50	112	440
51	114	436
52	116	432
53	118	429
54	120	425
55	122	423
56	124	421
57	126	418
58	128	415
59	129	411
60	131	407
61	133	403
62	134	400
63	136	397
64	139	395
65	140	392
66	142	390
67	144	387
68	146	385
69	148	382
70	150	379
71	152	376
72	154	374
73	156	372
74	158	369
75	160	366
76	161	363
77	163	360
78	165	357
79	166	354
80	169	353
81	171	351
82	173	349
83	176	348
84	178	346
85	180	344
86	183	343
87	185	342
88	187	339
89	190	337
90	191	335
91	193	332
92	195	330
93	197	327
94	201	328
95	203	326
96	205	324
97	207	322
98	209	320
99	211	317
100	213	315
101	216	314
102	218	312
103	223	313
104	226	312
105	228	309
106	229	307
107	232	305
108	234	303
109	236	301
110	239	299
111	241	296
112	243	295
113	245	293
114	248	291
115	251	290
116	253	287
117	255	285
118	257	283
119	259	281
120	261	278
121	263	276
122	265	274
123	267	272
124	269	269
125	272	268
126	274	266
127	277	264
128	279	262
129	281	260
130	283	257
131	286	255
132	288	253
133	290	251
134	293	250
135	296	248
136	298	245
137	300	244
138	302	241
139	305	239
140	307	237
141	309	235
142	311	233
143	313	231
144	317	229
145	319	227
146	321	225
147	323	223
148	325	220
149	328	218
150	330	216
151	333	214
152	335	212
153	338	210
154	340	208
155	343	206
156	345	204
157	347	202
158	350	200
159	352	198
160	355	196
161	357	194
162	359	191
163	361	189
164	363	187
165	364	184
166	366	182
167	368	179
168	370	177
169	372	175
170	374	172
171	376	170
172	378	168
173	380	166
174	382	163
175	384	161
176	386	159
177	389	157
178	390	155
179	392	152
180	395	150
181	397	148
182	398	145
183	400	143
184	403	141
185	405	139
186	407	137
187	409	134
188	411	132
189	413	130
190	415	128
191	417	126
192	420	124
193	422	121
194	424	119
195	426	117
196	428	115
197	430	113
198	432	110
199	435	108
200	437	106
201	439	104
202	441	102
203	444	100
204	446	97
205	448	95
206	450	93
207	453	91
208	455	89
209	458	87
210	460	85
211	462	82
212	465	80
213	467	78
214	470	76
215	472	74
216	474	72
217	477	70
218	479	67
219	482	65
220	484	63
221	487	61
222	489	59
223	492	57
224	494	54
225	497	52
226	499	50
227	502	48
228	504	46
229	507	44
230	509	41
231	512	39
232	515	37
233	517	35
234	520	33
235	522	31
236	524	28
237	526	26
238	529	24
239	531	22
240	533	19
241	536	17
242	538	15
243	541	13
244	544	11
245	546	8
246	549	6
247	551	4
248	553	2
249	555	0
